orderid,paymentMethod,rating,location,fee,orderTime,departTime1,arriveTime,departTime2,deliveryTime,riderUsername,customerUsername,rname
0,Cash,1,MacPherson,145.8,2020-01-19 21:43:09,2020-01-19 21:48:56,2020-01-19 21:53:53,2020-01-19 21:56:57,2020-01-19 22:1:12,sdfg,customer98,Quizno's +
1,Cash,1,HarbourFront,183.0,2020-02-05 16:36:21,2020-02-05 16:36:01,2020-02-05 16:36:55,2020-02-05 16:38:23,2020-02-05 16:43:10,sss,customer85,Ben & Jerry's
3,Mastercard,3,Segar,94.8,2020-04-03 17:21:08,2020-04-03 17:26:46,2020-04-03 17:29:42,2020-04-03 17:33:34,2020-04-03 17:34:23,rr,customer4,Hunam Garden
4,Mastercard,2,Nibong,37.8,2020-03-15 18:12:07,2020-03-15 18:17:42,2020-03-15 18:21:24,2020-03-15 18:24:17,2020-03-15 18:24:14,gg,customer2,Steak N Shake
5,Mastercard,3,Mount Pleasant,141.6,2020-02-02 18:01:26,2020-02-02 18:6:16,2020-02-02 18:9:17,2020-02-02 18:12:13,2020-02-02 18:17:04,gg,customer45,Simmies Arirang Hill Cheese Steak
6,Cash,1,Cove,97.2,2020-03-17 21:11:19,2020-03-17 21:13:19,2020-03-17 21:17:44,2020-03-17 21:21:11,2020-03-17 21:23:43,hh,customer81,Chick-fil-a Truett's Luau
7,Visa,4,Katong Park,75.6,2020-02-23 20:41:09,2020-02-23 20:44:40,2020-02-23 20:45:55,2020-02-23 20:50:43,2020-02-23 20:51:02,ff,customer83,Pizza Express
8,Mastercard,5,Lentor,149.4,2020-01-18 19:32:26,2020-01-18 19:37:43,2020-01-18 19:37:54,2020-01-18 19:38:39,2020-01-18 19:38:17,ooooo,customer37,Kfc - Kentucky Fried Chicken
9,Cash,1,Tai Seng,200.4,2020-04-10 18:08:34,2020-04-10 18:12:44,2020-04-10 18:12:14,2020-04-10 18:16:06,2020-04-10 18:16:23,rr,customer34,Farmer Boys
10,Mastercard,5,Lentor,204.6,2020-04-08 16:55:59,2020-04-08 16:55:26,2020-04-08 17:0:25,2020-04-08 17:3:07,2020-04-08 17:8:51,rr,customer36,Bravo Tacos
11,Visa,4,Tukang,125.4,2020-02-04 18:42:32,2020-02-04 18:45:43,2020-02-04 18:47:33,2020-02-04 18:50:35,2020-02-04 18:53:42,iii,customer93,Qdoba Mexican Grill
12,Mastercard,3,Riviera,144.0,2020-02-14 21:54:23,2020-02-14 21:57:14,2020-02-14 21:59:17,2020-02-14 22:2:19,2020-02-14 22:5:10,ee,customer48,Nick's Burgers
13,Cash,4,Bishan,74.4,2020-03-24 19:42:26,2020-03-24 19:45:19,2020-03-24 19:46:00,2020-03-24 19:47:04,2020-03-24 19:47:30,rr,customer25,Bb&t
14,Visa,2,EXTENSION,45.0,2020-03-05 19:16:56,2020-03-05 19:17:23,2020-03-05 19:19:56,2020-03-05 19:24:07,2020-03-05 19:26:53,kkkk,customer96,Moe's Original Bar B Que
15,Cash,2,Nanyang Crescent,55.8,2020-04-01 17:47:44,2020-04-01 17:51:07,2020-04-01 17:51:34,2020-04-01 17:52:30,2020-04-01 17:55:34,k,customer46,A&w Restaurant
16,Visa,1,City Hall,104.4,2020-04-06 18:43:14,2020-04-06 18:46:57,2020-04-06 18:48:45,2020-04-06 18:53:45,2020-04-06 18:56:03,rr,customer99,Noodles & Company
17,Mastercard,5,WEST LOOP,181.8,2020-03-13 18:02:23,2020-03-13 18:6:18,2020-03-13 18:10:25,2020-03-13 18:11:58,2020-03-13 18:15:39,rr,customer1,Qdoba Mexican Grill
18,Mastercard,2,Tampines East,42.6,2020-02-13 17:55:22,2020-02-13 18:0:51,2020-02-13 18:1:50,2020-02-13 18:6:01,2020-02-13 18:11:37,gg,customer56,Omega Drive-In
19,Visa,3,Tengah Plantation,51.6,2020-02-18 21:11:35,2020-02-18 21:16:22,2020-02-18 21:19:00,2020-02-18 21:23:39,2020-02-18 21:28:02,ii,customer3,Maria's Fry Bread & Mexican Food
20,Visa,1,Ang Mo Kio,193.8,2020-01-29 21:28:57,2020-01-29 21:32:13,2020-01-29 21:32:53,2020-01-29 21:34:39,2020-01-29 21:35:02,hh,customer27,Hot Dog on a Stick
21,Visa,4,Petir,77.4,2020-02-04 17:00:43,2020-02-04 17:1:48,2020-02-04 17:3:03,2020-02-04 17:5:52,2020-02-04 17:10:30,a,customer72,Pollo Tropical
22,Cash,3,Riviera,162.0,2020-02-20 21:04:37,2020-02-20 21:5:51,2020-02-20 21:5:58,2020-02-20 21:5:13,2020-02-20 21:6:38,ff,customer92,The Honeybaked Ham Company
