promoId,rname,startDate,endDate,discount
Blue quarantine meal,Kam's Chop Suey,2020-02-19,2020-07-17,25
Hot grab item,Sonic Drive-In,2019-12-27,2020-09-05,30
Crazy vacay meal,Crispy Chicken & Seafood,2019-11-26,2020-06-06,35
Cool quarantine order,Gold Star Chili,2020-02-18,2020-07-06,25
Cool day item,Taco Bell/Pizza Hut Express,2020-01-30,2020-06-26,50
Hot day snack,Carl's Jr - Green Burrito,2020-01-19,2020-02-20,55
Smart rest order,The Press Club,2020-01-06,2020-08-20,50
Hot grab item,Rancher's Roast Beef Inc.,2020-04-27,2020-08-21,55
Chill day snack,31st Avenue Gyro,2019-11-11,2020-06-08,35
Romantic holiday food,Aprisa Mexican Cuisine,2020-02-16,2020-09-20,15
Blue day meal,The Halal Guys,2020-03-20,2020-09-17,50
Cool grab food,Fuku,2020-01-26,2020-03-09,55
Smart home item,Integrated Therapy Specialists: Arnold D Larson,2020-05-13,2020-08-05,40
Crazy stay food,Bad Daddys Burger Bar,2020-03-27,2020-07-20,50
Cool quarantine meal,Fallguys Burger Company,2019-11-06,2020-02-23,40
Romantic holiday snack,Scoopers,2019-12-31,2020-04-06,5
Smart stay order,Thrashers French Fries,2020-02-18,2020-10-22,50
Romantic rest order,Your Healthy Habit,2020-01-16,2020-01-18,30
Perfect home food,Culver's,2020-06-13,2020-07-30,45
Smart quarantine order,Smashburger,2019-11-12,2020-02-20,10
Special quarantine order,Ball State Lafollette Dining,2019-11-01,2020-05-15,15
Amazing vacay order,Crown Fried Chicken,2019-11-01,2020-04-02,50
Hot quarantine item,Spangles,2020-08-20,2020-10-03,10
Hot quarantine snack,Food 4 Less,2020-09-08,2020-10-10,50
Great vacay snack,Steak 'N Shake,2019-11-23,2020-09-28,30
White vacay food,Long John Silvers,2020-08-16,2020-10-13,5
Cool stay order,Mariu Kebabberia Gastronomica,2020-02-20,2020-09-09,45
Hot rest meal,Auntie Anne's,2019-12-12,2020-01-06,15
Chill day order,Wendys,2020-03-20,2020-05-09,20
Romantic home food,Great Steak And Potato Co,2020-05-11,2020-10-20,5
Good home snack,King Grill,2019-11-13,2020-07-11,5
Blue holiday item,Rally's Hamburgers,2020-01-03,2020-08-08,10
Crazy home order,Cook-Out,2020-03-04,2020-05-26,5
Super stay order,Chick-fil-a Truett's Luau,2020-03-23,2020-04-06,55
Special stay snack,Taqueria,2019-12-05,2020-02-14,30
Good grab meal,Hunam Garden,2020-01-30,2020-09-19,40
Perfect vacay food,Waffle House,2020-02-10,2020-04-23,10
Perfect holiday order,L&L Hawaiian Barbecue,2019-12-11,2020-09-08,55
Great home item,Capriotti's Sandwich Shop,2020-04-02,2020-09-23,50
Super day item,Carl's Jr,2019-12-19,2020-06-06,15
Hot day snack,Aprisa Mexican Cuisine,2020-07-10,2020-07-21,5
Special home item,Mariu Kebabberia Gastronomica,2020-04-03,2020-10-17,20
Good holiday order,Steak 'N Shake,2020-05-01,2020-07-10,15
Hot vacay meal,Iceberg Drive Inn,2020-04-08,2020-04-16,30
Romantic stay snack,Tom & Jerry's,2019-11-16,2019-12-03,45
Great vacay snack,El Paragua Restaurant,2020-02-15,2020-06-24,15
Special quarantine snack,Cousins Subs,2020-02-07,2020-05-31,10
Super day order,Hometown Buffet,2020-08-27,2020-10-17,10
Blue vacay food,Kfc,2019-11-30,2019-12-17,50
Smart quarantine meal,Charley's Grilled Subs,2019-12-28,2020-09-24,25
Great stay meal,Pizza One,2019-12-04,2020-03-01,20
Hot quarantine meal,Chicken Express,2020-01-30,2020-06-13,50
Hot grab order,Arbys,2020-09-03,2020-09-12,55
Special vacay snack,Hermosa,2020-05-10,2020-07-21,55
Chill day snack,Dan's Seafood & Chicken,2019-11-17,2020-08-03,30
Amazing rest order,Gianni's Pizza,2020-03-11,2020-06-13,30
Blue grab meal,Nick's Gyros,2019-12-18,2020-02-29,10
Great vacay snack,El Pollo Loco,2019-11-30,2020-06-28,50
Blue quarantine meal,Taco Time,2020-05-04,2020-05-21,5
Perfect stay item,Maui Tacos,2020-05-03,2020-05-11,30
Crazy stay order,In-A-Tub,2020-01-28,2020-10-22,30
Cool day order,Seaside Eatery,2020-03-09,2020-06-30,40
Amazing vacay food,Steak 'n Shake,2020-01-07,2020-10-05,35
Hot day food,Waffle House,2020-01-03,2020-06-15,50
Blue rest meal,Carls Jr,2019-12-16,2020-02-15,30
Chill home item,Frisch's Big Boy,2020-04-29,2020-07-16,15
Great stay meal,Arby's Antigo,2020-04-23,2020-05-03,5
Good grab food,Noodles & Company,2020-04-24,2020-08-27,15
Blue vacay item,Subway - Roland Park,2019-12-12,2020-09-25,30
Special quarantine meal,Charlie Browns,2020-03-20,2020-06-21,25
Special stay snack,Charcoal Delights,2020-05-22,2020-06-03,55
Super grab snack,Windmill Gourmet Fast Foods,2020-01-05,2020-10-13,40
Perfect holiday food,Lukes on Harlem,2020-04-05,2020-05-21,40
Blue home meal,Mc Donalds,2020-03-27,2020-10-22,15
Blue holiday order,Luxor Food Court,2020-02-18,2020-09-27,35
Cool day meal,Baskin-Robbins,2019-12-29,2020-10-24,50
Romantic rest snack,Tom's Grill,2020-02-18,2020-06-30,15
Hot day order,Siam To Go,2020-10-05,2020-10-19,50
Amazing rest snack,DQ Grill & Chill / Orange Julius,2020-04-25,2020-09-05,55
White holiday food,Fab Wings N Burgers,2019-12-19,2020-09-06,35
