fname,rname,avail,maxLimit,price
Sushi,Shot Tower Inn,70,70,5.5
Risotto,Baskin-Robbins,90,90,10.0
Spicy stir fried octopus,Frugals,40,40,6.0
Soba,Mazatlan Mexican Restaurant,60,60,3.5
Gogigui,Travelcenters of America,40,40,6.5
Bhajji,Fred's Store,50,50,5.0
Tofu,Peking Wok,70,70,10.0
Sate,Wings N' More Wings,90,90,11.0
Pizza,Rocky's,20,20,10.5
Sushi,Spangle's,110,110,8.0
Curry fish head,Ivar's Seafood Bar,20,20,6.5
Tandoori chicken,Carl's Jr / Green Burrito,30,30,6.5
Ramyeon,BGR - The Burger Joint,110,110,4.5
Ayam goreng,Love's,50,50,4.5
Samgyeopsal,Pizza Primetime,30,30,5.5
Polenta,Jacks Grocery,80,80,3.5
Risotto,Nick's Gyros,70,70,5.0
Natto,Gianni's Pizza,100,100,4.5
Cheeseburger,Great Steak And Potato Co,100,100,4.5
Chicken wings,Long John Silver's,60,60,7.0
Nem ran,Subway Citgo of Quarryville,100,100,9.5
Soto,SONIC Drive-In,50,50,5.0
Tamales,McLaren's Pantry,100,100,9.5
Spaghetti Carbonara,BIG & little's Restaurant,50,50,4.5
Ayam goreng,Cook-Out,70,70,5.0
Soba,Good Times Burgers & Frozen Custard,40,40,11.0
Soba,Burger King Salou,20,20,8.0
Naan,Kentucky Fried Chicken,110,110,7.0
Rujak cingur,Dq Grill & Chill,50,50,6.5
Tostadas,Domino's Pizza,80,80,9.0
Beef rendang,Pick Up Stix,20,20,4.5
Nem ran,KFC / A&W,100,100,5.5
Samgyeopsal,Qdoba Mexican Eats,40,40,6.5
Ossobuco,Dq Grill & Chill,110,110,8.5
Thai hanglay curry,Tina's Carryout Restaurant,70,70,3.0
Spaghetti Bolognese,Jimmy Johns,50,50,7.0
Bibimbap,Furr's,60,60,9.5
Pizza,Thunder Ridge Ampride,100,100,10.5
Chicken rice,Luxor Food Court,20,20,6.0
Banh xeo,Nick's Gyros,70,70,10.5
Chocolate chip cookie,Samurai Sam's,40,40,5.0
Korma,Rally's Springfield,20,20,4.5
Soto,Hardee's,90,90,3.0
Tempura,Thrasher's French Fries,20,20,8.5
Yakitori,Jim Bob's Chicken Fingers,30,30,11.5
Natto,Charlie Browns,110,110,6.5
Oyster omelette,McDonald's,70,70,6.5
Cheeseburger,Isabella's Pizzeria,80,80,4.5
Bun bo hue,Blake's Lotaburger,50,50,7.5
Mole,Tasty Carryout,90,90,4.5
Chocolate chip cookie,Chicken House,60,60,10.0
Chicken with chestnuts,Soulfish Grill,60,60,8.5
Bibimbap,Kfc,40,40,6.0
Elote,Integrated Therapy Specialists: Arnold D Larson,110,110,9.0
Tacos al pastor,Lee's Famous Recipe Chicken,50,50,4.5
Bak kut teh,JCW's,90,90,10.5
Spaghetti Aglio Olio,Schlotzsky's,30,30,10.5
Bak chor mee,Aw Restaurant,40,40,10.5
Sour soup,Chicken Express,80,80,10.5
Chilaquiles,Frugals,20,20,8.5
Gado gado,Bb&t,40,40,12.0
Szechwan chilli chicken,Cook Out,110,110,12.0
Fried carrot cake,Skyline Chili,40,40,6.0
Szechwan chilli chicken,Greek Oven Pizza and Wings,40,40,9.0
Tamales,Raising Cane's,40,40,8.5
Szechwan chilli chicken,31st Avenue Gyro,70,70,9.5
Sour soup,Mickey's Gyros & Ribs,110,110,7.0
Lasagna,Kum Go,100,100,10.5
Kaya toast,Nielsen's Frozen Custard,70,70,7.0
Wanton mee,Chick-fil-a,100,100,8.0
Gogigui,Burger Time,100,100,4.0
Tacos al pastor,Steak N Shake,40,40,10.5
Sate,Kfc - Kentucky Fried Chicken,30,30,6.5
Soba,Ben & Jerry's,30,30,12.0
Chicken wings,Furr's,50,50,8.5
Pozole,Nielsen's Frozen Custard,20,20,3.5
Dim sum,Tellers Tap Room & Kitchen,90,90,11.0
Tacos al pastor,Circle Drive In,70,70,4.5
Banh khot,Burger King Salou,20,20,3.0
French fries,BGR - The Burger Joint,80,80,11.0
Palak paneer,Woody's Sloppy Dogs,30,30,10.5
Chilaquiles,Taco Bell/Pizza Hut Express,50,50,3.0
Beef soup,Taqueria,20,20,9.0
Gado gado,Pizza Barn,20,20,10.5
Spaghetti Carbonara,Papa John’s Pizza,110,110,11.0
Tacos al pastor,Stars Drive-In,70,70,7.0
Macaroni and Cheese,Hardee's,80,80,8.0
Beef rendang,Rally's Springfield,20,20,9.5
Hokkien prawn mee,Taco Bell,70,70,6.0
Bhajji,B K,110,110,8.5
Ramen,Pollo Campero,50,50,11.5
Ramen,Maui Tacos,70,70,9.5
Steak,Braum's,50,50,3.0
Hokkien prawn mee,Roy Rogers,30,30,9.5
Nasi goreng,Mc Donald's,20,20,9.0
Chicken wings,Nathan's Famous,110,110,8.5
Macaroni and Cheese,Rubio's,60,60,9.0
Fish stew,Jim Bob's Chicken Fingers,30,30,11.0
Vegetable fried rice,Kfc - Kentucky Fried Chicken,20,20,12.0
Elote,Twisters,90,90,6.0
Ramen,Your Healthy Habit,60,60,8.0
Polenta,Rafael's,50,50,10.5
Curry fish head,Eagan's Drive-In,80,80,5.0
Chole,Carl's Jr,80,80,8.0
Elote,Nick's Burgers,40,40,6.0
Mole,Pal's Sudden Service,50,50,4.0
Gado gado,Flash Foods / McDonald's,80,80,10.5
Pizza,Brixton's,40,40,7.0
Cheeseburger,Costa Vida,30,30,10.0
Doughnut,Rapid Ray's,100,100,10.5
Rawon,LocoL,80,80,9.5
Fried chicken,Good Times Burgers & Frozen Custard,80,80,12.0
Tacos al pastor,Back Yard Burgers,100,100,8.0
Coconut milk curry,A&W All-American Food,20,20,10.0
Beef rendang,Yum Brands Inc,40,40,3.5
Rujak cingur,Mcdonald's - Walmart,100,100,7.0
Chicken galangal soup,Toppers Pizza,40,40,11.0
Szechwan chilli chicken,Chicken House,110,110,8.5
Curry fish head,Wendy Two Two Eight,90,90,3.5
Lasagna,7-Eleven,30,30,5.0
Szechwan chilli chicken,Pete's Burgers,20,20,8.5
Fish kidney curry,Runza,20,20,9.0
Chilaquiles,Wienerschnitzel,30,30,6.5
Chilaquiles,Costa Vida,110,110,9.0
Banh xeo,Checkers,30,30,7.0
Wanton mee,Hoka Hoka Bento,50,50,10.5
Noodles,name,30,30,3.5
Spaghetti Bolognese,Sheetz,30,30,5.5
Beef rendang,Culver's,80,80,8.5
Chicken tikka masala,Jimmy John's,70,70,6.0
Ayam goreng,Foster's Freeze,100,100,3.0
Hot and sour soup,Culvers,50,50,5.0
Chocolate chip cookie,Krystal,70,70,10.5
Tom yum goong,J J Fish and Chicken,100,100,12.0
Sichuan pork,Fatburger,70,70,8.5
Kimchi stew,Taco Cabana,70,70,7.5
Hash browns,Wendy Two Two Eight,30,30,8.5
French fries,Fab Wings N Burgers,20,20,3.5
Enchiladas,Saladworks,100,100,4.5
Spaghetti Aglio Olio,Wendy Two Two Eight,40,40,3.5
Ramen,Home Town Buffet,80,80,5.0
Banh xeo,Pizza Barn,60,60,4.0
Laksa,AJ's Hotdogs & Gyros,30,30,4.0
Pozole,Charley's Grilled Subs,70,70,6.0
Beef soup,Lee's Famous Recipe Chicken,60,60,7.0
Sashimi,Steak 'n Shake,30,30,8.5
Noodles,Ny Chicken Fish,40,40,6.0
Beef soup,Hardee's / Red Burrito,70,70,7.0
Goi cuon,Frugal's,110,110,12.0
Sundubu jjigae,Sonic Drive in,60,60,8.5
